StopNum,Type,Day,Longitude,Latitude,NumOfPackages
4220,Delivery,Mon,29.2790012,40.8181723,1
4221,Delivery,Mon,29.4192212,40.8296706,1
4222,Delivery,Tue,29.1403331,41.0004265,1
4223,Delivery,Tue,29.3256596,40.9367051,1
4224,Delivery,Tue,29.2737302,40.8643922,1
4225,Pickup,Tue,29.1889547,40.8937604,1
4226,Delivery,Tue,29.231959,40.8767639,1
4227,Delivery,Tue,29.2332804,40.9804663,43
4228,Delivery,Tue,29.0861693,40.989049,26
4229,Delivery,Tue,29.4169227,40.8746043,1
4230,Delivery,Tue,29.0922775,41.0160032,1
4231,Delivery,Tue,29.1035818,41.0084252,1
4232,Delivery,Tue,29.1092732,41.0209115,1
4233,Delivery,Tue,29.0930878,41.0152497,1
4234,Delivery,Tue,29.1136591,41.0216927,1
4235,Delivery,Tue,29.5089227,40.8099503,2
4236,Delivery,Tue,29.5089309,40.8099505,2
4237,Delivery,Tue,29.1487905,40.9266784,1
4238,Delivery,Tue,29.1486885,40.9266037,1
4239,Delivery,Tue,29.1105018,41.0127459,1
4240,Delivery,Tue,29.1143906,41.006275,2
4241,Delivery,Tue,29.1000459,41.0287606,1
4242,Delivery,Tue,29.1164471,41.0087039,1
4243,Delivery,Tue,29.1176848,41.0086952,1
4244,Delivery,Tue,29.1087742,41.01136,1
4245,Delivery,Tue,29.1487115,40.9266172,1
4246,Delivery,Tue,29.1487109,40.9266201,1
4247,Delivery,Tue,29.4713105,40.8654302,1
4248,Delivery,Tue,29.4892014,40.8120647,2
4249,Delivery,Tue,29.1697223,41.0203892,1
4250,Delivery,Tue,29.174122,41.0218397,1
4251,Delivery,Tue,29.1793887,41.0183123,1
4252,Delivery,Tue,29.1276756,41.0262499,1
4253,Delivery,Tue,29.0846211,41.0235351,1
4254,Delivery,Tue,29.1006476,41.0171593,1
4255,Delivery,Tue,29.1011173,41.0243629,1
4256,Delivery,Tue,29.1016559,41.0243913,1
4257,Delivery,Tue,29.0972894,41.0292019,1
4258,Delivery,Tue,29.0994772,41.0148143,1
4259,Delivery,Tue,29.1010881,41.0147918,1
4260,Delivery,Tue,29.1215488,40.9927127,1
4261,Delivery,Tue,29.1241863,41.0152257,1
4262,Delivery,Tue,29.122766,41.0261865,1
4263,Delivery,Tue,29.1480742,41.0037566,7
4264,Delivery,Tue,29.1459305,41.0030032,2
4265,Delivery,Tue,29.1393102,41.0098127,1
4266,Delivery,Tue,29.148489,40.9976635,1
