StopNum,Type,Day,Longitude,Latitude,NumOfPackages,cluster_id
1,Delivery,Mon,29.4109207,40.8836476,1.0,18
2,Pickup,Mon,29.3928473,40.9042313,28.0,3
3,Delivery,Mon,29.3390131,40.8731631,1.0,35
4,Delivery,Mon,29.351323,40.9335016,1.0,3
5,Delivery,Mon,29.3516214,40.8935264,1.0,25
6,Delivery,Mon,29.3395406,40.9130367,1.0,3
7,Delivery,Mon,29.3962782,40.8791342,1.0,18
8,Delivery,Mon,29.3393297,41.0737783,3.0,21
9,Delivery,Mon,29.6077826,41.1707515,1.0,5
10,Delivery,Mon,29.2615787,40.9957855,1.0,13
11,Delivery,Mon,29.1939006,40.9891824,14.0,16
12,Pickup,Mon,29.0878953,41.024758,1.0,2
13,Delivery,Mon,29.2149825,41.0030389,1.0,17
14,Delivery,Mon,29.2327385,40.9986954,1.0,17
15,Delivery,Mon,29.2285028,40.9915097,1.0,17
16,Delivery,Mon,29.2300993,41.0056839,1.0,17
17,Delivery,Mon,29.2341165,41.0015949,3.0,17
18,Delivery,Mon,29.1702193,40.9846191,1.0,21
19,Delivery,Mon,29.1826892,40.9808755,1.0,21
20,Delivery,Mon,29.2512199,40.9749939,1.0,13
21,Delivery,Mon,29.2388961,40.9779297,1.0,32
22,Delivery,Mon,29.1278315,40.9886112,4.0,4
23,Delivery,Mon,29.1901477,40.8945873,1.0,29
24,Delivery,Mon,29.165726,40.9193168,84.0,10
25,Pickup,Mon,29.4667961,40.7970844,81.0,28
26,Delivery,Mon,29.1138534,41.0322448,1.0,23
27,Delivery,Mon,29.3068504,40.8918565,26.0,26
28,Delivery,Mon,29.1328092,40.9874134,1.0,4
29,Delivery,Mon,29.1239803,41.0242493,1.0,27
30,Delivery,Mon,29.1023763,40.9822084,1.0,24
31,Delivery,Mon,29.1372197,40.9855732,1.0,4
32,Delivery,Mon,29.1845615,40.8886402,1.0,29
33,Delivery,Mon,29.1382771,40.9305895,1.0,20
34,Delivery,Mon,29.1382771,40.9305895,1.0,20
35,Delivery,Mon,29.1125939,40.9552488,1.0,5
36,Delivery,Mon,29.3659264,40.8807495,1.0,25
37,Delivery,Mon,29.3816874,40.912238,1.0,25
38,Delivery,Mon,29.3627882,40.8878278,4.0,25
39,Delivery,Mon,29.3516885,40.8826048,1.0,25
40,Delivery,Mon,29.0895034,41.0251082,1.0,2
41,Delivery,Mon,29.0895009,41.0250456,1.0,2
42,Delivery,Mon,29.6095611,41.1744753,1.0,5
