Durak No,Type,Durak Günü,Longitude,Latitude,Paket Adedi,cluster_id
216,Delivery,Mon,29.1392459,40.989068,1,0
217,Delivery,Mon,29.118346,41.0209836,2,0
218,Delivery,Mon,29.113507,41.0249061,1,0
219,Delivery,Mon,29.1643488,40.9911492,1,0
220,Delivery,Mon,29.2536496,41.0202478,1,3
221,Delivery,Mon,29.2440589,41.0192394,1,3
222,Delivery,Mon,29.1879338,41.032047,1,3
223,Delivery,Mon,29.1700088,41.0352791,1,3
224,Delivery,Mon,29.3255134,41.0956958,1,3
225,Delivery,Mon,29.3327139,41.0766655,1,3
226,Delivery,Mon,29.1957649,41.0168433,1,3
227,Delivery,Mon,29.1365222,40.9850611,1,0
228,Delivery,Mon,29.2198559,40.9136383,1,2
229,Delivery,Mon,29.2229446,40.9173173,1,2
230,Delivery,Mon,29.2181305,40.9201656,1,2
231,Delivery,Mon,29.2168372,40.9360042,1,2
232,Delivery,Mon,29.1983741,40.9121017,1,2
233,Delivery,Mon,29.1851219,40.920743,1,7
234,Delivery,Mon,29.1122457,41.0151923,1,0
235,Delivery,Mon,29.1139783,41.0052899,1,0
236,Delivery,Mon,29.1130616,41.0137149,1,0
237,Delivery,Mon,29.1113221,41.016354,1,0
238,Delivery,Mon,29.1762115,41.0495221,1,3
239,Delivery,Mon,29.1016072,41.0196642,1,0
240,Delivery,Mon,29.0950471,41.024371,1,0
241,Delivery,Mon,29.1032762,41.0170026,1,0
242,Delivery,Mon,29.0913054,41.0237825,2,0
243,Delivery,Mon,29.4031332,40.8561493,3,1
244,Delivery,Mon,29.3376436,40.9113503,1,8
245,Delivery,Mon,29.3580394,40.9186263,1,8
246,Delivery,Mon,29.3591893,40.8897933,1,1
247,Delivery,Mon,29.3707702,40.8788661,1,1
248,Delivery,Mon,29.3841956,40.9104089,1,1
249,Delivery,Mon,29.0903367,41.0249605,1,0
250,Delivery,Mon,29.0895034,41.0251082,10,0
251,Delivery,Mon,29.3198073,40.8672825,1,9
252,Delivery,Mon,29.274498,40.8640872,2,9
253,Delivery,Mon,29.3888789,40.8682405,1,1
254,Delivery,Mon,29.1382771,40.9305895,1,7
255,Delivery,Mon,29.1382771,40.9305895,9,7
256,Delivery,Mon,29.1733894,41.031906,10,3
257,Delivery,Mon,29.3680031,40.8836321,1,1
258,Delivery,Mon,29.3679293,40.8835068,1,1
259,Delivery,Mon,29.6132928,41.1789196,1,4
260,Delivery,Mon,29.6167805,41.1743381,2,4
261,Delivery,Mon,29.5791777,41.145014,1,4
262,Delivery,Mon,29.6145666,41.1728672,1,4
263,Delivery,Mon,29.302523,40.9438665,2,8
264,Delivery,Mon,29.2373111,40.8807764,1,2
265,Delivery,Mon,29.2044568,41.0083071,3,3
266,Delivery,Mon,29.2321879,40.9888363,1,3
267,Delivery,Mon,29.2310231,40.9983505,1,3
268,Delivery,Mon,29.2331947,40.9991268,1,3
269,Delivery,Mon,29.1298829,41.0173221,1,0
270,Delivery,Mon,29.1277239,41.0082637,1,0
271,Delivery,Mon,29.3132239,40.8352295,1,9
272,Delivery,Mon,29.3224967,40.827963,1,9
273,Delivery,Mon,29.1350448,40.93825,1,7
274,Delivery,Mon,29.1304223,40.9263301,1,7
275,Delivery,Mon,29.6043062,41.1558714,1,4
276,Delivery,Mon,29.1872072,41.0094313,1,3
277,Delivery,Mon,29.1904551,41.009769,1,3
278,Delivery,Mon,29.1635887,40.9836177,1,0
279,Delivery,Mon,29.4388579,40.8643788,1,1
280,Delivery,Mon,29.1967076,41.014128,2,3
281,Delivery,Mon,29.1515264,40.9207949,6,7
282,Delivery,Mon,29.1591876,40.9216663,1,7
283,Delivery,Mon,29.2307966,41.0153517,1,3
284,Delivery,Mon,29.2268621,41.0150732,1,3
285,Delivery,Mon,29.1661303,40.9195175,72,7
286,Delivery,Mon,29.1276642,41.0262517,1,0
287,Delivery,Mon,29.1276779,41.0262487,6,0
288,Delivery,Mon,29.1276799,41.0262489,1,0
289,Delivery,Mon,29.1113319,41.0165024,2,0
290,Delivery,Mon,29.2433402,41.0188851,1,3
291,Delivery,Mon,29.2566774,41.0098425,1,3
292,Delivery,Mon,29.1933772,41.0173164,1,3
293,Delivery,Mon,29.178318,41.0316609,1,3
294,Delivery,Mon,29.2309885,40.8938988,1,2
295,Delivery,Mon,29.2309951,40.8939044,1,2
296,Delivery,Mon,29.1977977,40.9123961,1,2
297,Delivery,Mon,29.2150376,40.9080102,1,2
298,Delivery,Mon,29.234085,40.9100943,1,2
299,Delivery,Mon,29.2001292,40.9111799,1,2
300,Delivery,Mon,29.2007952,40.915864,2,2
301,Delivery,Mon,29.1897706,40.915766,1,2
302,Delivery,Mon,29.198401,40.9120905,1,2
303,Delivery,Mon,29.1158516,41.0119972,1,0
304,Delivery,Mon,29.1199993,41.0167971,1,0
305,Delivery,Mon,29.1161436,41.0206642,1,0
306,Delivery,Mon,29.112263,41.0272013,1,0
307,Delivery,Mon,29.0952168,41.0162132,1,0
308,Delivery,Mon,29.1105168,41.0221268,1,0
309,Delivery,Mon,29.3523789,40.8795084,1,1
310,Delivery,Mon,29.3873444,40.8742254,1,1
311,Delivery,Mon,29.3444416,40.8839422,1,1
312,Delivery,Mon,29.3754954,40.9321458,2,1
313,Delivery,Mon,29.0878464,41.0247687,16,0
314,Delivery,Mon,29.0878953,41.024758,1,0
315,Delivery,Mon,29.3679582,40.8843903,1,1
316,Delivery,Mon,29.327386,41.0768845,2,3
317,Delivery,Mon,29.4118801,41.2010353,1,4
318,Delivery,Mon,29.5891045,41.1636226,1,4
319,Delivery,Mon,29.275177,40.9876133,1,3
320,Delivery,Mon,29.2304549,40.9977335,1,3
321,Delivery,Mon,29.2304492,40.9969363,1,3
322,Delivery,Mon,29.236036,40.9953438,1,3
323,Delivery,Mon,29.6162213,41.1752071,1,4
324,Delivery,Mon,29.1889949,41.0063942,1,3
325,Delivery,Mon,29.2447609,40.9847636,1,3
326,Delivery,Mon,29.1832649,41.0263629,1,3
327,Delivery,Mon,29.1254342,41.0258735,2,0
328,Delivery,Mon,29.1425169,41.0075583,1,0
329,Delivery,Mon,29.1214358,41.0070085,1,0
330,Delivery,Mon,29.322198,40.8222361,1,9
331,Delivery,Mon,29.1272949,40.9252577,1,7
332,Delivery,Mon,29.1281295,40.9289552,1,7
333,Delivery,Mon,29.1382284,40.9223952,1,7
334,Delivery,Mon,29.6135681,41.1781992,1,4
335,Delivery,Mon,29.187129,41.0094462,1,3
336,Delivery,Mon,29.1911127,41.0100809,1,3
337,Delivery,Mon,29.2020981,41.0128748,1,3
338,Delivery,Mon,29.1560469,41.0013486,1,0
339,Delivery,Mon,29.1928669,41.0179169,1,3
340,Delivery,Mon,29.3844564,40.8756398,215,1
341,Delivery,Mon,29.1293258,40.9200752,2,7
342,Delivery,Mon,29.1515323,40.9208091,4,7
343,Delivery,Mon,29.2138058,41.013307,1,3
344,Delivery,Mon,29.2116736,41.0130639,1,3
345,Delivery,Mon,29.1276684,41.0262372,2,0
346,Delivery,Mon,29.1276803,41.0262471,1,0
347,Delivery,Mon,29.1409249,40.9955671,1,0
348,Delivery,Mon,29.112259,41.0269085,7,0
349,Delivery,Mon,29.1129102,40.9838759,1,0
350,Delivery,Mon,29.2522847,41.0104518,1,3
351,Delivery,Mon,29.1900696,41.03318,1,3
352,Delivery,Mon,29.1771288,41.0417661,1,3
353,Delivery,Mon,29.6170036,41.1748056,1,4
354,Delivery,Mon,29.5787601,41.1662294,1,4
355,Delivery,Mon,29.2095944,40.9288281,1,2
356,Delivery,Mon,29.2182915,40.9018571,1,2
357,Delivery,Mon,29.223037,40.9273214,1,2
358,Delivery,Mon,29.1941333,40.915743,1,2
359,Delivery,Mon,29.1876257,40.9142935,1,2
360,Delivery,Mon,29.1801326,40.9198767,1,7
361,Delivery,Mon,29.2125526,40.9160462,1,2
362,Delivery,Mon,29.1966338,40.9140025,1,2
363,Delivery,Mon,29.1396876,40.9998896,1,0
364,Delivery,Mon,29.1113377,41.0163764,1,0
365,Delivery,Mon,29.1124881,41.0269225,1,0
366,Delivery,Mon,29.1084857,41.0245362,1,0
367,Delivery,Mon,29.0992242,41.0087513,1,0
368,Delivery,Mon,29.1882872,41.0231179,2,3
369,Delivery,Mon,29.0959784,41.0242188,1,0
370,Delivery,Mon,29.1046591,41.0131937,1,0
371,Delivery,Mon,29.0906464,41.0231934,1,0
372,Delivery,Mon,29.0999276,41.0161468,1,0
373,Delivery,Mon,29.4670877,40.7989412,1,6
374,Delivery,Mon,29.2375638,41.015701,1,3
375,Delivery,Mon,29.2375224,41.0157633,1,3
376,Delivery,Mon,29.1241158,41.0234601,1,0
377,Delivery,Mon,29.124464,41.0232831,3,0
378,Delivery,Mon,29.124498,41.0232436,3,0
379,Delivery,Mon,29.1243179,41.0235017,7,0
380,Delivery,Mon,29.1715895,41.0312249,2,3
381,Delivery,Mon,29.3995266,40.8795945,1,1
382,Pickup,Mon,29.4667869,40.7970893,16,6
383,Delivery,Mon,29.1464233,41.0079896,1,0
384,Delivery,Mon,29.3158253,40.8276905,1,9
385,Delivery,Mon,29.3025164,40.8307055,1,9
386,Delivery,Mon,29.1246497,40.9352676,1,7
387,Delivery,Mon,29.2366661,41.0478635,1,3
388,Delivery,Mon,29.2297356,41.0339219,1,3
389,Delivery,Mon,29.218996,41.0270965,1,3
390,Delivery,Mon,29.2346941,41.0506748,1,3
391,Delivery,Mon,29.2359627,41.0383732,1,3
392,Delivery,Mon,29.2729672,40.8636833,1,9
393,Delivery,Mon,29.2729715,40.8636816,2,9
394,Delivery,Mon,29.2729824,40.8636847,2,9
395,Delivery,Mon,29.2550149,40.9696815,4,3
396,Delivery,Mon,29.0804535,40.9976231,1,0
397,Delivery,Mon,29.0846085,40.9938747,1,0
398,Delivery,Mon,29.0759308,41.0016463,1,0
399,Delivery,Mon,29.0741293,41.0031491,1,0
400,Delivery,Mon,29.2550393,40.9696754,4,3
401,Delivery,Mon,29.4356515,40.7992694,1,6
402,Delivery,Mon,29.1016591,40.9724127,1,0
403,Delivery,Mon,29.1061829,40.9784611,1,0
404,Delivery,Mon,29.1101815,40.9627501,1,0
405,Delivery,Mon,29.1030999,40.9799908,1,0
406,Delivery,Mon,29.1067794,40.9767998,1,0
407,Delivery,Mon,29.1086476,40.9783296,7,0
408,Delivery,Mon,29.1056095,40.9667806,1,0
409,Delivery,Mon,29.1068099,40.9767773,2,0
410,Delivery,Mon,29.1155414,40.9727462,1,0
411,Delivery,Mon,29.1101522,40.9626869,1,0
412,Delivery,Mon,29.4358263,40.7992333,1,6
413,Delivery,Mon,29.1493272,41.0274991,1,0
414,Delivery,Mon,29.1627494,41.0167357,2,0
415,Delivery,Mon,29.1191904,40.9325609,2,7
416,Delivery,Mon,29.1903399,41.0245364,1,3
417,Delivery,Mon,29.1917692,41.0139105,1,3
418,Delivery,Mon,29.1872065,41.0094147,1,3
419,Delivery,Mon,29.1874287,41.007976,1,3
420,Delivery,Mon,29.2301088,41.0312851,2,3
421,Delivery,Mon,29.2693425,41.0838285,2,3
422,Delivery,Mon,29.222629,41.0256399,2,3
423,Delivery,Mon,29.2425691,41.0540208,1,3
424,Delivery,Mon,29.2381958,41.0514576,1,3
425,Delivery,Mon,29.1192445,40.9826079,2,0
426,Delivery,Mon,29.2729621,40.8636835,2,9
427,Delivery,Mon,29.2729732,40.8636839,7,9
428,Delivery,Mon,29.2782851,40.8605316,1,9
429,Delivery,Mon,29.3285829,40.9313312,1,8
430,Delivery,Mon,29.3334021,40.9298558,1,8
431,Delivery,Mon,29.3075109,40.9295069,1,8
432,Delivery,Mon,29.3332347,40.9297688,1,8
433,Delivery,Mon,29.2889892,40.9188512,3,8
434,Delivery,Mon,29.3149748,40.9269265,1,8
435,Delivery,Mon,29.4129456,40.842872,2,1
436,Delivery,Mon,29.4015093,40.8758889,1,1
437,Delivery,Mon,29.4048141,40.8563593,12,1
438,Delivery,Mon,29.3762872,40.8807749,1,1
439,Delivery,Mon,29.3716674,40.8916936,5,1
440,Delivery,Mon,29.3484608,40.8814758,1,1
441,Delivery,Mon,29.3484608,40.8814758,3,1
442,Delivery,Mon,29.378962,40.7815472,1,6
443,Delivery,Mon,29.3654703,40.7974611,1,6
444,Delivery,Mon,29.3775929,40.7979143,3,6
445,Delivery,Mon,29.399702,40.789975,1,6
446,Delivery,Mon,29.4115227,40.7821179,1,6
447,Delivery,Mon,29.4016476,40.8477391,1,1
448,Delivery,Mon,29.1842787,41.0523679,1,3
449,Delivery,Mon,29.2302083,40.9091336,1,2
450,Delivery,Mon,29.1993119,40.9095532,1,2
451,Delivery,Mon,29.1893536,40.9110569,1,2
452,Delivery,Mon,29.2334182,40.8967312,1,2
453,Delivery,Mon,29.1720344,40.9180034,2,7
454,Delivery,Mon,29.1659664,40.8986651,1,7
455,Delivery,Mon,29.2725709,40.9261466,1,8
456,Delivery,Mon,29.3432045,40.9138207,1,8
457,Delivery,Mon,29.37385,40.8809067,1,1
458,Delivery,Mon,29.3472206,40.9216319,1,8
459,Delivery,Mon,29.3872704,40.8741724,1,1
460,Delivery,Mon,29.0903367,41.0249605,1,0
461,Delivery,Mon,29.3682362,40.8838002,1,1
462,Delivery,Mon,29.6106497,41.1697296,1,4
463,Delivery,Mon,29.5644617,41.1673438,1,4
464,Delivery,Mon,29.6067621,41.1622044,1,4
465,Delivery,Mon,29.2760314,40.9956085,1,3
466,Delivery,Mon,29.2758984,40.9849325,1,8
467,Delivery,Mon,29.2005405,41.0068359,5,3
468,Delivery,Mon,29.2392694,40.9909516,1,3
469,Delivery,Mon,29.2340627,40.9939848,1,3
470,Delivery,Mon,29.2340207,40.9972304,1,3
471,Delivery,Mon,29.1224403,41.0274585,1,0
472,Delivery,Mon,29.3069331,40.8395478,1,9
473,Delivery,Mon,29.3108617,40.8270863,1,9
474,Delivery,Mon,29.1232672,40.9317453,1,7
475,Delivery,Mon,29.564281,41.1671133,1,4
476,Pickup,Mon,29.0871552,41.0246273,1,0
477,Delivery,Mon,29.2065183,41.0132306,1,3
478,Delivery,Mon,29.1674281,40.9882368,2,3
479,Pickup,Mon,29.0873312,41.0246405,2,0
480,Delivery,Mon,29.1511295,40.9142534,1,7
481,Delivery,Mon,29.1593034,40.9170713,1,7
482,Delivery,Mon,29.1967076,41.0141107,1,3
483,Delivery,Mon,29.2273446,41.0112241,1,3
484,Delivery,Mon,29.2767642,40.9641003,26,8
485,Delivery,Mon,29.1276808,41.0262528,3,0
486,Delivery,Mon,29.1276813,41.0262437,24,0
487,Delivery,Mon,29.1276797,41.0262501,4,0
488,Delivery,Mon,29.1231537,41.0228902,1,0
489,Delivery,Mon,29.2302548,41.0090969,1,3
490,Delivery,Mon,29.2593427,41.0151236,1,3
491,Delivery,Mon,29.1715847,41.0312219,1,3
492,Delivery,Mon,29.1772556,41.0416494,1,3
493,Delivery,Mon,29.1783247,41.0316495,1,3
494,Pickup,Mon,29.0903367,41.0249605,11,0
495,Delivery,Mon,29.6124187,41.173011,1,4
496,Delivery,Mon,29.3058581,41.1136777,1,3
497,Delivery,Mon,29.2044213,40.9212176,1,2
498,Delivery,Mon,29.1850702,40.9206175,1,7
499,Delivery,Mon,29.2423559,40.9061558,1,2
500,Delivery,Mon,29.2272483,40.8971967,1,2
501,Delivery,Mon,29.1950733,40.9161603,1,2
502,Delivery,Mon,29.2053869,40.909798,1,2
503,Delivery,Mon,29.213706,40.932813,1,2
504,Delivery,Mon,29.1190561,41.0055812,1,0
505,Delivery,Mon,29.1081903,41.0113277,1,0
506,Delivery,Mon,29.1078106,41.024583,1,0
507,Delivery,Mon,29.1909477,41.0225335,1,3
508,Delivery,Mon,29.0929221,41.022222,1,0
509,Delivery,Mon,29.1000722,41.0122532,1,0
510,Delivery,Mon,29.0958174,41.0242613,1,0
511,Delivery,Mon,29.0934293,41.009562,1,0
512,Delivery,Mon,29.1004488,41.017603,1,0
513,Delivery,Mon,29.2374926,41.0157349,1,3
514,Delivery,Mon,29.1830707,41.0298227,1,3
515,Delivery,Mon,29.1243521,41.0233455,1,0
516,Delivery,Mon,29.1241662,41.0234419,26,0
517,Delivery,Mon,29.1263333,41.0232929,1,0
